batch, input_dim, output_dim, total_forward_time(ms), mean_forward_time(ms)
16,2048,64,2740.482666015625,0.2740482666015625
16,2048,128,2721.030029296875,0.2721030029296875
16,2048,256,2729.8310546875,0.27298310546875
16,2048,512,2746.836181640625,0.2746836181640625
16,2048,1024,2761.64013671875,0.276164013671875
16,2048,2048,2749.47314453125,0.274947314453125
32,64,64,2910.66357421875,0.291066357421875
32,64,128,2725.97216796875,0.272597216796875
32,64,256,2786.13623046875,0.278613623046875
32,64,512,2749.366455078125,0.2749366455078125
32,64,1024,2725.28564453125,0.272528564453125
32,64,2048,2758.132080078125,0.2758132080078125
32,128,64,2755.319091796875,0.2755319091796875
32,128,128,2761.509765625,0.2761509765625
32,128,256,2821.2607421875,0.28212607421875
32,128,512,2763.61865234375,0.276361865234375
32,128,1024,2721.2255859375,0.27212255859375
32,128,2048,2775.975830078125,0.2775975830078125
32,256,64,2751.83349609375,0.275183349609375
32,256,128,2900.219970703125,0.2900219970703125
32,256,256,2857.97314453125,0.285797314453125
32,256,512,3415.2060546875,0.34152060546875
32,256,1024,3001.962890625,0.3001962890625
32,256,2048,2920.1103515625,0.29201103515625
32,512,64,3030.468994140625,0.3030468994140625
32,512,128,2746.48046875,0.274648046875
32,512,256,3181.921875,0.3181921875
32,512,512,2815.66748046875,0.281566748046875
32,512,1024,2725.19580078125,0.272519580078125
32,512,2048,2736.310791015625,0.2736310791015625
32,1024,64,2699.828857421875,0.2699828857421875
32,1024,128,2732.564208984375,0.2732564208984375
32,1024,256,2780.41357421875,0.278041357421875
32,1024,512,2782.4375,0.27824375
32,1024,1024,2774.56787109375,0.277456787109375
32,1024,2048,2741.888671875,0.2741888671875
32,2048,64,2709.71435546875,0.270971435546875
32,2048,128,2708.6875,0.27086875
32,2048,256,2719.032470703125,0.2719032470703125
32,2048,512,2688.956298828125,0.2688956298828125
32,2048,1024,2733.737060546875,0.2733737060546875
32,2048,2048,2907.177978515625,0.2907177978515625
64,64,64,2715.38330078125,0.271538330078125
64,64,128,2681.230712890625,0.2681230712890625
64,64,256,2739.56494140625,0.273956494140625
64,64,512,2749.91650390625,0.274991650390625
64,64,1024,2798.562744140625,0.2798562744140625
64,64,2048,2987.62060546875,0.298762060546875
64,128,64,2886.24267578125,0.288624267578125
64,128,128,3274.655029296875,0.3274655029296875
64,128,256,3112.064208984375,0.3112064208984375
64,128,512,2835.832763671875,0.2835832763671875
64,128,1024,3197.384765625,0.3197384765625
64,128,2048,3053.90673828125,0.305390673828125
64,256,64,2789.37890625,0.278937890625
64,256,128,3037.844482421875,0.3037844482421875
64,256,256,3425.30615234375,0.342530615234375
64,256,512,3039.099609375,0.3039099609375
64,256,1024,2942.083251953125,0.2942083251953125
64,256,2048,2772.920166015625,0.2772920166015625
64,512,64,2739.129638671875,0.2739129638671875
64,512,128,2687.385986328125,0.2687385986328125
64,512,256,2702.077880859375,0.2702077880859375
64,512,512,2703.8369140625,0.27038369140625
