layer_type,fp16,LR,d_model (encoder_embed_dim),d_ffn (encoder_ffn_embed_dim),n_heads (encoder_attention_heads),d_head (encoder_head_dim),n_layers (encoder_layers),d_model (decoder_embed_dim),d_ffn (decoder_ffn_embed_dim),n_heads (decoder_attention_heads),d_head (decoder_head_dim),n_layers (decoder_layers),Total Params (formula) (no bias or LayerNorm params),dropout,batch size (max-tokens),trainable params (fairseq log),application_id,experiment,BEST_BLEU_VAL_EPOCH_10,BEST_BLEU_VAL_EPOCH_20,BEST_BLEU_VAL_EPOCH_30,BEST_BLEU_VAL_EPOCH_120,BEST_LOSS_VAL_EPOCH_10,BEST_LOSS_VAL_EPOCH_20,BEST_LOSS_VAL_EPOCH_30,BEST_LOSS_VAL_EPOCH_120,BEST_LOSS_TRAIN_EPOCH_10,BEST_LOSS_TRAIN_EPOCH_20,BEST_LOSS_TRAIN_EPOCH_30,BEST_LOSS_TRAIN_EPOCH_-1,philly_compute_tim,epoch 1,epoch 2,epoch 3,epoch 4,epoch 30,Median
baseline,fp16,0.0005,512,1024,4,128,30,512,1024,4,128,30,165212160,0.3,8192,run0,1583898264103_227945,0ae45207,27.67000008,32.86000061,33.11000061,33.11000061,4.337999821,3.95600009,3.95600009,3.95600009,4.165999889,3.153000116,2.654000044,1.949000001,17:42:46,252.245,250.445,251.057,250.646,254.088,251.06
baseline,fp16,0.0005,512,1024,4,128,30,512,1024,4,128,30,165212160,0.3,8192,run1,1583898264103_227949,0ae45207,29.69000053,33.22999954,33.22999954,33.22999954,4.196000099,3.951999903,3.951999903,3.951999903,4.089000225,3.09100008,2.585999966,1.949000001,17:50:11,256.885,255.783,255.348,510.178,250.467,255.78
baseline,fp16,0.00035355,1024,2048,4,256,1,1024,2048,4,256,1,36823040,0.3,2048,runnumber_0,1583898264103_234436,91dd6e3d,25.45000076,28.62999916,29.87000084,30.22999954,4.861999989,4.604000092,4.552000046,4.539000034,4.604000092,4.03399992,3.798000097,3.24000001,,40.145,37.998,37.249,38.08,38.229,38.08
baseline,fp16,0.00035355,1024,2048,4,256,1,1024,2048,4,256,1,36823040,0.3,2048,runnumber_1,1583898264103_234442,91dd6e3d,25.45000076,28.62999916,29.79999924,30.29999924,4.861999989,4.604000092,4.552000046,4.539000034,4.604000092,4.03399992,3.808000088,3.24000001,,41.596,38.857,39.313,38.713,38.583,38.86
baseline,fp16,0.00035355,1024,2048,4,256,2,1024,2048,4,256,2,57794560,0.3,2048,runnumber_0,1583898264103_234453,91dd6e3d,28.38999939,31.59000015,32.25999832,32.27999878,4.511000156,4.263000011,4.237999916,4.237999916,4.261000156,3.660000086,3.394999981,2.730000019,,60.65,58.35,58.413,58.499,119.529,58.5
baseline,fp16,0.00035355,1024,2048,4,256,2,1024,2048,4,256,2,57794560,0.3,2048,runnumber_1,1583898264103_234438,91dd6e3d,28.38999939,31.59000015,32.13999939,32.31999969,4.511000156,4.263000011,4.237999916,4.237999916,4.261000156,3.660000086,3.394999981,2.730000019,,58.838,57.896,57.907,58.093,58.61,58.09
baseline,fp16,0.00035355,1024,2048,4,256,3,1024,2048,4,256,3,78766080,0.3,2048,runnumber_0,1583898264103_234443,91dd6e3d,30.02000046,32.49000168,32.90999985,32.90999985,4.321000099,4.125999928,4.116000175,4.116000175,4.070000172,3.434999943,3.142999887,2.427999973,,87.967,85.194,85.103,85.086,83.8,85.1
baseline,fp16,0.00035355,1024,2048,4,256,3,1024,2048,4,256,3,78766080,0.3,2048,runnumber_1,1583898264103_234452,91dd6e3d,29.95999908,32.47000122,32.88000107,32.88000107,4.322000027,4.124000072,4.120999813,4.120999813,4.070000172,3.434999943,3.144000053,2.427999973,,87.889,82.583,82.327,168.445,82.839,82.84
baseline,fp16,0.00035355,1024,2048,4,256,4,1024,2048,4,256,4,99737600,0.3,2048,runnumber_0,1583898264103_234447,91dd6e3d,30.36000061,32.72999954,33.08000183,33.08000183,4.242000103,4.074999809,4.074999809,4.074999809,3.977999926,3.309000015,2.959000111,2.246999979,,108.308,106.291,109.032,106.197,528.194,108.31
baseline,fp16,0.00035355,1024,2048,4,256,4,1024,2048,4,256,4,99737600,0.3,2048,runnumber_1,1583898264103_234444,91dd6e3d,30.36000061,32.72999954,33.08000183,33.08000183,4.242000103,4.074999809,4.074999809,4.074999809,3.977999926,3.309000015,2.98300004,2.296999931,,114.379,110.71,110.904,111.6,109.29,110.9
baseline,fp16,0.00035355,1024,2048,4,256,5,1024,2048,4,256,5,120709120,0.3,2048,runnumber_0,1583898264103_234449,91dd6e3d,31.31999969,33.06000137,33.33000183,33.33000183,4.130000114,4.03000021,4.03000021,4.03000021,3.842999935,3.163000107,2.822999954,2.124000072,,138.363,132.747,130.848,133.078,135.482,133.08
baseline,fp16,0.00035355,1024,2048,4,256,5,1024,2048,4,256,5,120709120,0.3,2048,runnumber_1,1583898264103_234454,91dd6e3d,31.31999969,33.06000137,33.33000183,33.33000183,4.130000114,4.03000021,4.03000021,4.03000021,3.842999935,3.163000107,2.822999954,2.125,,139.658,130.864,135.313,137.718,133.605,135.31
baseline,fp16,0.00035355,1024,2048,4,256,6,1024,2048,4,256,6,141680640,0.3,2048,runnumber_0,1583898264103_234450,91dd6e3d,31.45999908,32.88000107,33.04999924,33.04999924,4.102000237,4.019000053,4.019000053,4.019000053,3.796999931,3.085000038,2.724999905,2.055999994,,147.609,146.387,147.633,148.224,147.822,147.63
baseline,fp16,0.00035355,1024,2048,4,256,6,1024,2048,4,256,6,141680640,0.3,2048,runnumber_1,1583898264103_234446,91dd6e3d,31.45999908,32.88000107,33.04999924,33.04999924,4.102000237,4.019000053,4.019000053,4.019000053,3.796999931,3.085000038,2.724999905,2.055999994,,151.018,145.361,145.577,146.033,150.573,146.03
baseline,fp16,0.00035355,1024,2048,4,256,7,1024,2048,4,256,7,162652160,0.3,2048,runnumber_0,1583898264103_234437,91dd6e3d,31.37000084,32.93000031,32.93000031,32.93000031,4.119999886,4.017000198,4.017000198,4.017000198,3.789000034,3.020999908,2.640000105,2.005000114,,179.868,176.65,176.584,175.603,173.179,176.58
baseline,fp16,0.00035355,1024,2048,4,256,7,1024,2048,4,256,7,162652160,0.3,2048,runnumber_1,1583898264103_234455,91dd6e3d,31.35000038,32.97999954,32.97999954,32.97999954,4.118000031,4.018000126,4.018000126,4.018000126,3.788000107,3.020999908,2.640000105,2.005000114,,182.309,178.366,178.841,179.656,173.547,178.84
baseline,fp16,0.00035355,1024,2048,4,256,8,1024,2048,4,256,8,183623680,0.3,2048,runnumber_0,1583898264103_234448,91dd6e3d,31.79000092,33.02999878,33.02999878,33.02999878,4.053999901,3.99000001,3.99000001,3.99000001,3.710000038,2.940000057,2.555999994,1.968000054,,202.526,199.913,200.287,199.522,198.09,199.91
baseline,fp16,0.00035355,1024,2048,4,256,8,1024,2048,4,256,8,183623680,0.3,2048,runnumber_1,1583898264103_234445,91dd6e3d,31.87999916,33.09999847,33.09999847,33.09999847,4.052999973,3.994999886,3.994999886,3.994999886,3.710000038,2.940000057,2.555000067,1.968000054,,204.349,199.578,199.535,200.775,195.483,199.58
baseline,fp16,0.00035355,1024,2048,4,256,9,1024,2048,4,256,9,204595200,0.3,2048,runnumber_0,1583898264103_234439,91dd6e3d,,,,,,,,,,,,,,224.85,,,,,224.85
baseline,fp16,0.00035355,1024,2048,4,256,9,1024,2048,4,256,9,204595200,0.3,2048,runnumber_1,1583898264103_234435,91dd6e3d,32.49000168,33.22999954,33.22999954,33.22999954,4.040999889,3.967000008,3.967000008,3.967000008,1.945000052,1.945000052,1.945000052,1.945000052,,214.201,213.39,211.534,214.487,215.58,214.2
baseline,fp16,0.00035355,1024,2048,4,256,10,1024,2048,4,256,10,225566720,0.3,2048,runnumber_0,1583898264103_234441,91dd6e3d,32.33000183,33.34999847,33.34999847,33.34999847,4.010000229,3.963000059,3.963000059,3.963000059,3.625999928,2.802999973,2.411999941,1.916000009,,256.52,248.308,246.893,247.214,247.813,247.81
baseline,fp16,0.00035355,1024,2048,4,256,10,1024,2048,4,256,10,225566720,0.3,2048,runnumber_1,1583898264103_234451,91dd6e3d,32.33000183,33.34999847,33.34999847,33.34999847,4.010000229,3.963000059,3.963000059,3.963000059,3.625999928,2.802999973,2.411999941,2.220999956,,233.111,231.385,232.003,232.943,232.666,232.67
baseline,fp16,0.00035355,1024,2048,4,256,20,1024,2048,4,256,20,435281920,0.3,2048,runnumber_0,1583898264103_234456,91dd6e3d,32.83000183,33.20999908,33.20999908,33.20999908,3.951999903,3.943000078,3.943000078,3.943000078,3.434999943,2.424000025,2.104000092,1.881000042,,454.348,454.723,454.062,455.332,459.405,454.72
baseline,fp16,0.00035355,1024,2048,4,256,20,1024,2048,4,256,20,435281920,0.3,2048,runnumber_1,1583898264103_234440,91dd6e3d,32.83000183,33.20999908,33.20999908,33.20999908,3.951999903,3.943000078,3.943000078,3.943000078,3.434999943,2.424000025,2.104000092,1.832000017,,468.279,470.121,467.113,467.606,482.21,468.28
baseline,fp16,0.000707,256,512,4,64,1,256,512,4,64,1,5273600,0.3,8192,runnumber_0,1583898264103_234867,fe1985a7,21.07999992,25.05999947,25.95000076,27.95999908,5.28000021,4.940000057,4.833000183,4.631000042,5.464000225,5.004000187,4.856999874,4.589000225,,12.616,12.128,12.117,12.134,12.265,12.13
baseline,fp16,0.000707,256,512,4,64,1,256,512,4,64,1,5273600,0.3,8192,runnumber_1,1583898264103_234873,fe1985a7,21.07999992,25.05999947,25.95000076,27.95999908,5.28000021,4.940000057,4.833000183,4.631000042,5.464000225,5.004000187,4.856999874,4.589000225,,13.098,12.256,12.291,12.345,12.105,12.29
baseline,fp16,0.000707,256,512,4,64,2,256,512,4,64,2,6584320,0.3,8192,runnumber_0,1583898264103_234876,fe1985a7,22.76000023,27.59000015,29.11000061,31.93000031,5.024000168,4.587999821,4.447000027,4.18599987,5.234000206,4.660999775,4.454999924,4.098999977,,20.819,19.493,19.954,19.116,19.09,19.49
baseline,fp16,0.000707,256,512,4,64,2,256,512,4,64,2,6584320,0.3,8192,runnumber_1,1583898264103_234870,fe1985a7,22.76000023,27.59000015,29.11000061,31.93000031,5.024000168,4.587999821,4.447000027,4.18599987,5.234000206,4.660999775,4.454999924,4.098999977,,19.628,18.592,18.532,19.091,18.552,18.59
baseline,fp16,0.000707,256,512,4,64,3,256,512,4,64,3,7895040,0.3,8192,runnumber_0,1583898264103_234872,fe1985a7,24.56999969,29.39999962,30.62000084,33.27000046,4.84800005,4.369999886,4.251999855,4.037000179,5.083000183,4.413000107,4.223999977,3.880000114,,26.118,24.754,24.844,25.214,24.739,24.84
baseline,fp16,0.000707,256,512,4,64,3,256,512,4,64,3,7895040,0.3,8192,runnumber_1,1583898264103_234883,fe1985a7,24.56999969,29.39999962,30.62000084,33.31999969,4.84800005,4.369999886,4.251999855,4.035999775,5.083000183,4.413000107,4.223999977,3.881000042,,26.179,25.075,25.725,25.4,24.835,25.4
baseline,fp16,0.000707,256,512,4,64,4,256,512,4,64,4,9205760,0.3,8192,runnumber_0,1583898264103_234882,fe1985a7,25.95999908,30.12000084,31.52000046,34.04999924,4.68900013,4.282000065,4.166999817,3.961999893,4.928999901,4.30700016,4.111999989,3.740999937,,33.51,31.823,62.162,32.143,32.573,32.57
baseline,fp16,0.000707,256,512,4,64,4,256,512,4,64,4,9205760,0.3,8192,runnumber_1,1583898264103_234871,fe1985a7,25.95999908,30.12000084,31.52000046,34.15000153,4.68900013,4.282000065,4.166999817,3.960000038,4.928999901,4.30700016,4.111999989,3.742000103,,157.369,149.788,143.877,139.599,145.496,145.5
baseline,fp16,0.000707,256,512,4,64,5,256,512,4,64,5,10516480,0.3,8192,runnumber_0,1583898264103_234866,fe1985a7,25.70999908,30.78000069,32.04000092,34.50999832,4.688000202,4.222000122,4.105999947,3.90899992,4.93200016,4.248000145,4.034999847,3.638999939,,40.527,39.298,39.153,38.902,38.883,39.15
baseline,fp16,0.000707,256,512,4,64,5,256,512,4,64,5,10516480,0.3,8192,runnumber_1,1583898264103_234879,fe1985a7,25.70999908,30.78000069,32.04999924,34.41999817,4.688000202,4.222000122,4.105000019,3.907999992,4.93200016,4.248000145,4.034999847,3.640000105,,39.839,37.269,36.981,36.535,38.658,37.27
baseline,fp16,0.000707,256,512,4,64,6,256,512,4,64,6,11827200,0.3,8192,runnumber_0,1583898264103_234878,fe1985a7,26.27000046,30.85000038,32.15000153,34.83000183,4.644999981,4.196000099,4.072999954,3.884000063,4.887000084,4.210000038,3.989000082,3.559000015,,43.798,43.283,43.184,43.225,43.331,43.28
baseline,fp16,0.000707,256,512,4,64,6,256,512,4,64,6,11827200,0.3,8192,runnumber_1,1583898264103_234884,fe1985a7,26.27000046,30.85000038,32.15000153,34.81000137,4.644999981,4.196000099,4.072999954,3.884000063,4.887000084,4.210000038,3.989000082,3.559000015,,48.258,46.443,46.828,46.179,45.068,46.44
baseline,fp16,0.000707,256,512,4,64,7,256,512,4,64,7,13137920,0.3,8192,runnumber_0,1583898264103_234881,fe1985a7,25.97999954,31.12000084,32.47999954,34.93000031,4.637000084,4.162000179,4.039000034,3.872999907,4.893000126,4.190999985,3.938999891,3.484999895,,49.252,48.418,48.657,48.48,51.95,48.66
baseline,fp16,0.000707,256,512,4,64,7,256,512,4,64,7,13137920,0.3,8192,runnumber_1,1583898264103_234886,fe1985a7,25.97999954,31.10000038,32.50999832,34.93999863,4.637000084,4.162000179,4.039000034,3.871000051,4.893000126,4.172999859,3.938999891,3.484999895,,49.473,48.092,48.257,48.022,51.716,48.26
